time,energy,time_delay_qg,grb_name,redshift,trigger_time,t90,fluence,peak_flux
318384004.1890559,0.13340429299755727,4.402341668919391e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.23813784,0.1523292470154001,5.026865151508204e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384006.36713636,0.2734357099716126,9.023378429063219e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.8771507,0.4723661300393409,1.5588082291298254e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.5139775,0.12014359790762973,3.964738730951782e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.356764,0.10779413348282547,3.5572064049332417e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.78540635,0.14418914174334696,4.758241677530451e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.81071323,0.11089316007723969,3.6594742825489105e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.03827864,0.2654693348969825,8.760488051600425e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.41863835,0.27262679611779633,8.99668427188728e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.62065244,0.23630226372796992,7.797974703023009e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.6366539,0.1027940131032495,3.392202432407234e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.1215139,0.21681060925516202,7.154750105420349e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.0255878,0.3961278513978617,1.307221909612944e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.6431484,0.23082725785596347,7.617299509246797e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384008.26831967,0.14757990570345633,4.87013688821406e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384006.51352555,0.28091005370009936,9.270031772103282e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.0153028,0.10102125377190026,3.3337013744727093e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.0251905,0.20140562104799986,6.646385494583997e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.02251726,2.0367835259870057,6.7213856357571206e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.2826115,2.318286316170019,7.650344843361065e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.69410497,0.11815028803517841,3.8989595051608884e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.5984747,0.13005207134349114,4.291718354335209e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.221734,0.18003014293160757,5.940994716743051e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384006.0827325,0.22126938040771874,7.3018895534547205e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.8167459,0.10195227561021974,3.3644250951372525e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384003.00399405,0.21009435699845702,6.933113780949083e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.8324254,0.1066188049760819,3.5184205642107034e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.0625888,0.47031993904267255,1.5520557988408198e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.21470535,0.21905663759241417,7.22886904054967e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.41941273,0.1581945735701451,5.22042092781479e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.6214907,0.23191751116853934,7.653277868561801e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.05551755,0.10413891675500403,3.4365842529151337e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.19419134,0.24627094356625912,8.126941137686552e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384003.3363632,0.15174383492310883,5.007546552462593e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384011.1353121,0.13356725441777112,4.407719395786448e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.96368235,0.5227689398947849,1.7251375016527907e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.5389108,0.1348028960428687,4.448495569414668e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.16700846,0.17328364085405848,5.718360148183931e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384003.4023421,0.44509284852214814,1.4688064001230893e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384003.8386686,0.20560496119661742,6.784963719488376e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384007.2937311,0.7340312666153742,2.4223031798307357e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.78833616,0.10516400201274834,3.4704120664206964e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.69584984,0.10158025409036671,3.3521483849821024e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.54288524,0.7511838699857776,2.4789067709530668e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.3376026,0.3801685691658485,1.2545562782473005e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.1961052,0.4302184255811747,1.4197208044178769e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.28666365,0.1149866100378399,3.7945581312487177e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.0362105,0.17440612835109778,5.755402235586229e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384007.6195563,0.9719312763667344,3.207373212010224e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.2116272,0.10676098183230526,3.5231124004660747e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.64594805,0.22965233610133826,7.578527091344164e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.50920546,0.13154298844284942,4.340918618614033e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.2772763,0.2036212460759154,6.719501120505211e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384006.37863904,23.30811908549138,7.691679298212158e-20,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384006.16606826,0.31276195535701334,1.0321144526781442e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.43509907,0.3398784805831931,1.1215989859245375e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384004.1860069,0.11380467886708223,3.7555544026137147e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.3884356,0.1585940670890787,5.233604213939598e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.6825933,0.5099918139328988,1.6829729859785667e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384003.2692954,0.10162911062450913,3.3537606506088023e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.1058394,0.5587366298737902,1.8438308785835084e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384004.06292284,0.12006952963150193,3.9622944778395647e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.50422156,0.17823386568614685,5.8817175676428475e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.2232278,1.0689707558272628,3.5276034942299684e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.1018085,0.1268118974456299,4.184792615705788e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.0198272,0.21214014464681324,7.000624773344839e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.2800977,1.3827465471683351,4.563063605655507e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384002.7195761,0.3124205336957404,1.0309877611959435e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.99323046,0.5079977957887672,1.6763927261029324e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384005.441057,0.5710543528739426,1.8844793644840107e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384001.2593564,0.7938535948119699,2.6197168628795015e-21,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
318384000.0118648,0.12369255223414864,4.0818542237269064e-22,GRB201216C,1.1,318384000.0,28.0,0.00011,3.9e-05
