ENERGY,TIME,RA,DEC
100.0,273591990.3754926,179.74901,0.27511907
100.0,273591690.77344286,179.79889,-0.48773926
100.0,273590891.4811441,179.95573,0.45615268
100.0,273586686.9459294,180.60086,0.12495341
100.0,273590632.6758824,180.2332,-0.30497053
100.0,273590857.238471,179.56451,-0.7489014
100.0,273586914.74141747,178.93625,-0.6236989
105.879074,273592148.6260989,179.65753,-0.12205756
135.90218,273591740.43726707,179.61475,0.5844797
100.0,273592173.74835014,179.9462,-0.87588274
163.65717,273587476.9042648,180.07552,0.44673878
100.0,273590247.54806244,180.17476,-1.0916415
100.0,273588985.6947949,179.85861,0.25707582
100.0,273582917.68829036,180.53816,0.3145253
100.0,273589539.65544593,179.52612,-0.3052908
100.0,273587615.8569268,179.62802,0.43476343
100.0,273588707.1870868,179.71066,-0.9539392
100.0,273590989.36599314,179.8664,0.11062215
100.0,273591029.1791912,179.68423,-0.8810622
100.0,273586795.8208753,179.63135,1.0741862
100.0,273589877.62335336,180.23305,-0.123859406
100.0,273585447.88268155,179.86115,-0.3807979
100.0,273585418.704605,180.31212,0.15462859
100.0,273592024.9166739,180.15141,0.43842307
100.0,273588707.6124605,179.97937,-0.5008717
100.0,273591288.052383,180.2908,0.10961558
100.0,273587289.06141275,180.2454,-0.08735687
122.73212,273585793.4063034,180.37007,-0.3805772
100.0,273591503.45990616,179.6795,-0.07218528
100.0,273583226.02813894,180.11957,-0.04876922
106.765076,273587740.2299191,179.95534,-0.3456707
120.882576,273586942.3557212,181.05106,-0.6008659
100.0,273591364.2584003,179.78682,0.33676532
100.0,273591834.17431647,180.55174,0.5501614
100.0,273582564.2912236,180.06721,0.051938802
143.99365,273586842.64966214,179.33551,-0.19742979
100.0,273586488.3383537,179.64116,0.38945955
100.0,273589815.35770506,180.42464,0.12577413
100.0,273586325.4031869,180.04762,0.7675823
100.0,273589276.3339673,180.21411,0.50893444
100.0,273591968.3588284,179.97476,-0.7744221
100.63279,273591001.9700788,180.53534,-0.39924166
100.0,273589822.1186547,179.79077,-0.43309072
100.0,273588637.3858229,180.60416,0.90655744
100.0,273584249.6505428,179.25449,-0.22745581
100.0,273584291.1768741,180.44902,0.7332647
100.0,273583619.9950141,179.96436,-1.1900716
100.0,273585781.79126394,181.31773,0.15695752
140.19244,273586345.64372057,180.59523,0.6320895
101.018654,273585249.5163845,179.96083,0.6001326
134.45912,273589706.4545063,179.94185,-0.26065668
100.0,273590415.7608606,180.38971,-0.26826394
113.205826,273590989.2684475,180.43242,0.6788677
100.0,273590910.4492184,180.13403,-0.32996187
100.0,273590551.14564294,179.53252,-0.007303211
100.0,273586913.9419092,180.46124,-0.91480213
100.0,273588161.39951605,179.4045,-0.028469391
100.0,273587202.60554796,180.8658,-0.47371632
100.0,273589452.0970342,179.87221,-0.023262704
138.74063,273591426.70768785,179.80562,-0.09951186
100.0,273589801.76411116,180.74272,-0.095004685
101.15902,273585645.86348444,180.54567,0.14822061
100.0,273587612.86824155,179.82173,-0.40491942
100.0,273588275.3282007,179.94165,0.2731029
100.0,273587860.3779926,179.50436,-0.7265247
110.18724,273585008.41489685,179.41995,-0.6596934
100.0,273587430.9927168,179.87195,-0.3156165
100.0,273588876.58731276,179.91551,-0.55073476
100.0,273590795.32232934,179.82904,-1.1062899
100.0,273586035.4421467,179.73132,0.5432546
121.291794,273584575.8743403,179.4004,0.18194714
100.0,273587245.7183426,180.74763,0.58839107
100.0,273585312.579316,180.17398,0.37057957
100.0,273584159.7057077,180.07892,-1.0824707
100.0,273586087.5018646,180.1562,-0.16542195
100.0,273586750.92801523,180.32729,0.5147582
100.0,273591990.5087493,179.72224,-0.2731625
100.0,273587701.4622182,180.27045,-0.19110648
100.0,273587994.6870266,181.27693,-0.7268216
100.0,273591412.27324843,179.10976,0.8166598
100.0,273584637.04369766,179.81218,0.20054013
100.0,273589185.5794523,178.5585,0.14556679
115.91678,273590986.84523773,180.47452,-0.0909795
100.0,273586367.34760267,180.37915,-0.0029960729
100.0,273587912.34289277,180.26689,0.12495282
100.0,273589620.32663953,180.09296,-0.57013094
100.0,273586429.0319076,180.99434,-0.31110513
100.0,273585227.5980078,179.16747,-0.18776724
100.0,273584862.1792548,180.99843,-0.51539254
100.0,273588272.6019681,179.76433,0.19076537
100.0,273584907.7965267,179.47047,-0.48111543
100.0,273587079.9875082,180.56046,-0.42512408
100.0,273586132.22879213,180.6576,0.34324938
100.286354,273586309.1149623,179.49193,0.03113911
100.0,273588482.78997713,179.90945,0.18001108
100.0,273585998.751522,180.5598,0.8304724
100.0,273584479.1631869,179.49507,0.3158815
100.0,273591943.86860096,179.94994,-0.22205828
100.0,273586991.22187656,179.49368,-0.55154413
100.0,273586792.5960186,180.29387,0.4190175
100.0,273586305.3451866,179.45018,0.4808577
100.0,273591865.7600925,180.19887,0.24704878
116.53909,273588767.36239153,180.18832,0.5054552
100.0,273588813.9894459,180.66978,-0.950302
36568.266,273589925.64129406,179.89404,0.12641823
100.0,273587723.17292106,180.19528,-0.447105
100.0,273588679.9788841,180.06519,-0.1293567
100.0,273591951.6195132,179.85594,-0.5960016
130.71556,273589459.0946707,180.93484,0.09939176
100.0,273590507.9104818,179.41022,-0.6294627
100.0,273590232.72427565,179.85196,0.17405151
100.0,273587731.2268637,179.14653,-0.07470749
100.0,273590804.6958936,180.46227,0.6264268
101.978485,273585973.09706706,180.1996,0.6313345
100.0,273585522.1086854,179.62337,0.1993226
100.0,273588409.27479064,181.08607,-0.85189986
123.06596,273586892.12695605,180.7357,-0.18150458
100.0,273588746.3491639,179.85088,-0.49207976
100.0,273590756.0271292,179.7718,0.44103557
100.0,273588613.3843411,179.95332,-0.17699683
100.0,273585754.4861,179.887,-0.3660541
100.0,273588805.77768743,179.06512,-0.6326446
100.0,273589087.36567736,180.78532,0.40721282
100.0,273590350.3723732,180.46358,0.11238866
100.0,273589297.69826996,180.94035,-0.5795064
100.0,273591541.26834756,179.35936,-0.8384408
100.0,273589705.9010604,179.02658,-0.19209033
100.0,273587972.89818823,180.72404,-0.5324438
117.92556,273590927.7033177,180.91772,0.5811259
100.0,273583074.2284215,179.02348,0.6606399
104.657814,273589453.77727133,179.73766,-0.8507649
100.0,273588487.90475786,179.50629,-0.6292465
122.47456,273588541.21163565,179.86047,0.09185764
100.0,273590683.4105628,180.45996,0.15789154
100.0,273584314.88301,179.47183,-0.0026648801
100.0,273587104.9016216,179.75491,-0.5135731
100.0,273586317.3053224,179.33603,0.2759726
100.0,273590812.04239106,179.71399,-0.16108118
112.76641,273588503.6830641,180.66023,0.37051538
100.0,273588860.9498044,181.09247,-0.18666795
100.0,273587619.30164427,180.24593,0.8992806
100.0,273583657.97543,180.10725,-0.52256584
100.0,273586552.3432014,180.63576,0.49243972
100.0,273586572.5775738,180.2483,-0.5740628
135.57149,273585612.44790417,180.046,0.33676955
100.0,273589643.2252996,179.13712,-0.18338124
100.0,273585914.1438387,180.48546,-0.45883048
100.0,273585336.90690696,180.14244,0.42759463
100.0,273588493.03257704,179.05128,-0.3243997
100.0,273586775.6971451,180.2475,-0.054123078
100.0,273590888.7161723,179.72902,-0.090751655
100.0,273588107.3630685,180.03021,-0.97129434
100.0,273587117.9139364,180.29907,0.7063869
107.02069,273586081.4269981,180.62166,0.676732
100.0,273586565.1226678,180.58292,0.47648934
24083.068,273590981.89539677,179.06027,-0.0992685
100.0,273587068.8199419,180.43512,-0.98691654
100.0,273583989.45225835,180.2176,0.5278039
100.0,273589834.3365662,179.18002,0.19213748
100.0,273590348.4160353,179.86778,-0.239094
105.61546,273584550.5090209,180.06917,0.04676205
100.0,273585910.9183082,180.12646,0.09235677
100.0,273590890.93527675,179.5558,0.13833755
100.0,273589143.903852,179.53308,0.18845414
100.0,273589718.05707425,179.89293,0.25838965
100.0,273584542.39810544,179.06885,0.16162392
100.0,273591001.50903696,179.41917,0.6323073
100.0,273588329.2793099,180.0569,0.3554581
100.0,273589477.9178939,180.46103,-1.1674694
110.57981,273588912.7188733,180.3039,-0.4214698
100.0,273582833.82772166,179.486,0.12577651
100.0,273589663.69187284,179.39442,-0.5497527
100.0,273591754.8780469,180.48683,-0.53474766
100.0,273589293.32698953,180.04208,0.15611932
100.0,273587315.6302708,179.66017,-0.26923588
100.0,273583715.8968388,180.13062,0.56004804
100.0,273585694.765663,179.57338,-0.7525948
109.52363,273585634.1404197,178.89438,-0.20111579
100.0,273590395.7020559,179.5727,-0.43181664
100.0,273586285.8827675,179.8268,-0.17127614
100.0,273590162.0623799,179.98712,0.010219199
100.0,273585854.5864666,179.92601,0.18904565
126.287445,273586083.8256525,180.3421,0.24486859
100.0,273590042.15217066,179.54466,0.42786285
100.0,273592006.5527672,180.62987,-1.0118988
100.0,273591184.47287196,180.57402,-0.19701034
100.0,273591758.0211907,179.91646,-0.23978168
100.0,273584511.60504574,179.97618,-0.88316447
100.0,273590756.2217811,180.24695,-0.48938853
100.0,273590381.3346034,179.88052,0.25227803
100.0,273588212.7384358,180.33391,0.30718583
100.0,273588808.4895068,180.33267,0.39505723
100.0,273587640.9277336,179.7215,0.14285557
103.992424,273587032.2276117,180.0826,-0.12883699
100.0,273590471.02727234,179.48384,0.13591251
100.0,273590569.4877434,180.43677,-0.6529361
100.0,273587465.0103013,179.31464,0.36867133
100.0,273588565.5728762,180.04134,-0.28250185
106.34014,273592003.6768649,179.78304,-0.16241983
100.0,273589332.0257483,180.01288,-0.1864695
100.0,273589788.3717546,179.78624,-0.70993745
119.04761,273592255.16347903,179.63142,0.4463983
100.0,273583788.1785182,180.61586,0.096948095
111.58088,273587727.9408879,179.24394,0.47532767
100.0,273585101.6691806,178.83873,0.08140272
126.48639,273584574.43797165,180.28807,-0.12819688
102.12956,273586962.0189145,180.3604,-0.21597515
100.0,273588950.9634788,180.30101,0.5656256
100.0,273588917.4844327,179.98979,0.3026731
100.0,273588929.3290685,180.90144,-0.64664406
100.0,273586690.1050082,179.97058,-0.1663111
100.0,273587844.24327755,179.59029,0.9179702
100.0,273589167.90198296,179.97324,0.45807296
100.0,273591325.2750928,179.58488,0.45383453
100.0,273589931.6284277,179.47314,-0.5060255
107.51519,273586876.2582457,180.8319,0.39538586
100.0,273583425.8609516,180.02563,-0.27073064
100.0,273590473.57621133,180.34566,0.34287223
100.0,273589499.59157145,179.33607,-0.6287784
100.0,273591486.2150732,178.96661,-1.1594852
100.0,273583580.425104,180.09544,-0.4387303
100.0,273590807.513915,179.98253,0.41672826
100.0,273590274.39296764,179.45546,-0.782339
100.0,273590055.98268914,180.21095,0.026356
108.32472,273590887.1122683,178.60547,0.11325647
150.14906,273591417.3289105,179.75552,-0.35797745
100.0,273590557.74140507,180.14412,-0.07745365
100.0,273588293.74865925,180.2704,-0.40846106
100.0,273585905.5529627,180.0666,-0.867934
100.0,273584018.35676646,180.60954,0.010994488
100.0,273588777.2287377,179.72804,0.044597264
100.0,273588230.3120921,179.56206,-0.15804385
100.0,273589096.2506418,180.12949,0.5829997
130.2126,273587088.2330431,180.16463,-0.24283853
100.0,273586468.3904757,180.28842,0.6692677
100.0,273589739.6701626,179.60378,-0.39144516
119.865654,273586190.4099124,180.80138,0.19601932
100.0,273587901.22114706,179.70372,-0.033540644
123.47602,273584384.4663272,179.33688,-0.04749509
100.0,273587260.1794044,179.93274,0.60156614
100.0,273587020.3431322,180.72104,0.1434998
111.22479,273582858.5645463,179.74982,-0.54824704
100.0,273586371.02870834,180.20183,0.4188892
100.0,273590358.2070447,179.68976,-0.1456593
117.84416,273590627.8091503,180.81807,0.029482469
100.0,273590487.41153425,180.17128,-0.42491958
100.0,273588170.9633524,179.79471,-0.3717159
100.0,273586591.4553387,179.92136,0.11408398
100.0,273590183.1753915,179.84354,0.608544
100.0,273590458.8526608,180.47794,1.0578396
100.0,273586127.01586604,180.1625,0.44465965
100.0,273584560.7854858,179.54071,0.1881081
100.0,273589930.3913225,179.10315,-0.10147857
133.38297,273586914.1388664,179.66862,-0.6213968
100.0,273591036.8543931,179.51051,-0.6329479
100.0,273588460.1857479,180.88696,0.073423564
100.0,273590146.0043516,180.50644,0.79191744
100.0,273585194.9629256,179.46669,0.15649033
100.0,273585299.9852027,180.27715,0.38426286
135.38179,273587537.2056959,180.37119,-0.25485894
100.0,273585399.56048924,180.1218,-0.9036047
107.827225,273589372.1105775,180.0918,0.42621228
100.0,273587876.0315531,179.64641,0.049706064
100.32274,273584993.0998696,179.85883,-1.2645875
100.3413,273587615.895424,180.49532,0.17430972
100.0,273586931.8225509,179.55542,0.06500294
100.0,273588055.91878694,180.3752,-0.83400667
100.0,273585659.75098217,179.6554,-0.02427766
100.0,273585656.97681826,179.86548,0.14971192
100.0,273590098.06774247,180.41939,0.65712816
100.0,273587000.77236164,179.8014,-0.6564752
110.694405,273591302.6845728,179.82098,0.8157395
100.0,273588433.6777426,179.67781,0.2743001
100.0,273588121.0764612,179.67943,-0.2871241
109.09223,273589423.5725541,180.15433,-0.30594993
100.0,273589808.5839314,178.99232,0.8422514
100.0,273585345.2367591,179.8093,-0.58182085
100.0,273587103.5043403,179.39528,-0.16566454
100.0,273589137.177957,178.65305,-0.6545347
100.0,273586048.7051318,180.17409,-0.49475554
100.0,273585066.0537495,179.69904,-0.20544052
25344.234,273585920.32821155,180.52821,0.10195789
100.0,273587270.07683825,179.93538,0.13287175
100.0,273589897.74739957,179.5315,0.30232403
100.0,273588808.2699084,180.3414,0.13251571
111.86773,273587170.0731342,179.62273,0.3353647
100.0,273583800.3936929,180.15024,-0.043467738
100.0,273589139.78139156,179.73306,-1.3348993
100.0,273584724.9798547,179.93375,0.8779293
129.48189,273588788.4927641,180.35567,0.108493425
100.0,273591201.9132837,180.44519,-0.32729366
115.280396,273588245.8673232,179.67043,0.07208506
100.0,273587786.2741219,180.18878,0.72615224
100.0,273591013.0691368,179.5626,-0.53637195
100.0,273590594.9045404,180.68327,0.92208856
100.0,273590607.3686601,179.54936,-0.020697514
112.79898,273583931.4767589,179.34245,0.44226113
100.0,273589801.05241627,179.64777,0.5250259
100.0,273587659.51612973,179.42616,-0.33008948
100.0,273586811.87218034,180.35599,0.058196254
107.52688,273590701.43389016,180.49788,-0.23645799
100.0,273588157.09781754,179.78418,-0.08335383
100.0,273586795.8220852,180.03627,-0.034323916
100.0,273587630.54418355,179.7818,-0.97253954
100.0,273588706.6841789,180.00285,-0.34521055
100.0,273588788.3609455,179.75403,0.8231299
100.0,273591849.34580463,179.99557,-0.40333205
100.0,273590573.30483305,179.1052,-0.22465627
100.0,273589072.46272814,180.05455,-0.26536188
100.0,273586593.52117443,179.796,0.089685634
115.434044,273587184.74924207,180.8159,0.71340215
100.0,273588936.81670195,179.8703,-0.0840045
100.0,273588604.0070976,180.06992,0.7484258
100.0,273585517.5396194,178.95036,0.09104941
100.0,273591773.0877457,179.60057,-0.44706988
101.62685,273585012.3713421,180.61557,-0.6076577
100.0,273587431.1732523,179.40633,0.30144542
100.0,273589551.4145045,180.20715,-0.178941
131.80624,273588541.97500294,180.49101,0.28239146
100.0,273591445.9550407,180.61139,0.20722924
100.0,273587549.88529396,180.31088,0.007019616
119.47392,273586818.7711378,181.00139,-0.35788617
100.0,273592145.35187274,180.7575,-0.23400286
100.0,273589074.41626936,179.8815,-0.7358407
100.0,273586957.334816,180.25401,-0.3149362
100.0,273592086.2356824,179.19609,-0.01417287
