time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321427.5929904,0.11477194215586996,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321481.3011339,0.033483445338135055,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321483.5240686,0.016849561427701953,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321429.011547,0.021063030965095497,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321462.536581,0.02404745801910138,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321524.4115827,0.027593835503740456,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321512.8659916,0.01586475083269745,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321447.181407,0.0315217260861363,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321436.1288173,0.015760099215031215,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321459.306787,0.016038626787846108,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321421.2087424,0.019172587015944986,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321464.4174023,0.06005790093144218,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321433.6467633,0.10284944725823207,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321453.363222,0.02124129137286875,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321424.453461,0.10782491523279779,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321445.200914,0.05053856885395447,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321473.6520908,0.06332519840514843,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321422.6815178,0.019898136648697922,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321490.2989526,0.017003644080788624,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321429.9913425,0.01639125388353317,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321602.294941,0.07252510434695457,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321426.8408153,0.02213406778263256,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321455.1817658,0.02988220083270707,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321468.5977411,0.018920293812073673,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321490.2999809,0.08509744254745508,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321496.553657,0.02707905377519165,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321424.6094053,0.03151348966151966,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321509.6898177,0.02076826256188278,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321422.1018584,0.028598535107354373,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321517.2728446,0.04213769844550924,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321456.0807087,0.03602987361781229,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321533.0191267,0.03311845631689557,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321470.8327672,0.017945777798996972,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321448.66454,0.0490241423966321,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321652.2955418,0.02030669794503964,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321491.894605,0.020461943387246447,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321473.573047,0.05860217418571137,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321455.6898873,0.07761519722028261,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321459.6613057,0.11855996000979342,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321420.2453961,0.019430157123766313,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321480.8534465,0.020994502556566246,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321451.5541883,0.02548589386774664,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321433.9283354,0.03559733265283943,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321552.4715033,0.015309236751683856,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321435.2567823,0.06251574106276427,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321501.2306755,0.11861149104136241,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321522.2073946,0.020763922553160917,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321435.0436316,0.016979083771612714,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321421.316447,0.030592115920663295,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321700.3654544,0.016303281640648277,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321675.5174396,0.11007994165414273,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321532.6949995,0.030620489143904823,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321518.0488875,0.046764413691531996,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321732.0260658,0.01813178478330102,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321438.4309266,0.035965423112402306,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321657.7863042,0.01925161768971864,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321481.5489807,0.01667627875124745,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321442.8880742,0.045182446320119835,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321421.715431,0.019817647871314775,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321439.5472105,0.015387803036782811,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321450.4142234,0.0178551394179467,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321450.71581,0.06583583062181642,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321436.8785355,0.020743544637545765,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321468.9961424,0.10489930421030247,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321497.6786947,0.0295382957350462,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321428.2045379,0.017095794804172063,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321423.1682036,0.018835900928165804,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321442.2517226,0.0584126490096398,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321455.6312401,0.018468691718441912,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321421.5584092,0.017001930302852252,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321522.9138885,0.030991954786360416,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321613.5175347,0.03477213567173711,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321461.9661367,0.05027029123987336,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321432.5843387,0.060461422663340626,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321424.7939568,0.022922004927699056,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321434.7413807,0.061627783043506086,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321426.7793384,0.12890834169536258,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321530.255263,0.056038561731196104,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321421.5088325,0.03745973475248898,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321568.3241503,0.018822020577484843,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321419.7146354,0.018734359523978027,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321437.4361935,0.022561934774948448,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321559.2397978,0.02842539476048969,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321476.3054154,0.020624070205228506,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321505.3014174,0.017658019930977587,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321481.1445806,0.031836233484617275,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321443.2126985,0.017180137877597024,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321457.9182255,0.016609127772685108,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321481.169565,0.026061674777160197,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321457.261377,0.09016862053031427,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321447.2369726,0.028972883612335524,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321463.748369,0.01610955912577129,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321551.0487182,0.01617347304246306,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321426.0272071,0.015055207692245205,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
1665321432.331383,0.05738304224774885,Swift_BAT,GRB221009A,0.151,1665321419.0,600.0
