time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
239932805.66176057,0.10487853103038769,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.9059386,0.44919398353483575,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.96574482,0.3101994655725799,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.1357635,0.17791265309285126,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.96132252,0.11103077181701167,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932813.71979132,0.22332244480114852,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.81304124,0.47596469501804406,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.07707736,1.306365396524575,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.42860097,0.2999901851221341,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.14112,0.11921611954162732,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.0253208,0.17442335187222835,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932815.31041604,0.3717571609738626,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.36346576,1.471155232279013,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.67311367,0.11177339104967372,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.64526367,0.10263711500481328,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.76505992,0.23164621798548152,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932820.821925,0.7026713449240621,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.37721562,0.20137028710634666,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.61934918,0.1522805956153461,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.99554396,0.3149636013174336,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.76892436,0.13340612483399142,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932813.39566675,0.6836061596327598,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932810.48937342,8.799219693775688,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.52533564,1.1227584075260528,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.08841395,0.5236964607044786,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.29966173,0.12679682919103594,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.54442647,0.43090941586756454,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.0893294,0.3631586253311381,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.88754678,0.15372112405581673,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.063429,0.13874356369367158,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.18806407,0.21133162925747287,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.55490443,0.38884830611619986,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.39907512,0.31808923640087916,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932815.46904552,0.5737013098742344,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.79582953,0.28395253062041736,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.06876382,6.066241602650955,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.91221276,0.10826848895568926,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932813.30478182,0.5345800456219699,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.7768573,0.11581247162596078,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932818.75775522,0.14746612849014248,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.3905773,0.33451268200855155,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.34105408,0.13028148546308096,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.6073176,0.23442910749173762,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.8971925,0.1528735492792812,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932827.5365363,0.5038680590350779,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.33691102,0.11580112258338356,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.77533698,0.11366725197229464,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.76092404,0.10271695061364364,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.60454,1.1574667092444109,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.23772535,0.1131650021427979,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.8075972,0.10830378373188468,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.75439456,0.11768183553779049,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.34071296,0.44162888242191206,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.19708574,0.19120999219011148,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.31881037,2.350136937384598,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.53429356,0.13225954554035987,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.6800523,0.10670404173432309,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.08523992,0.11117013391839198,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.22792038,0.170742441316067,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.62699595,0.19293408023816663,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.04989293,0.1722012070183221,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.98237062,0.12334545715976811,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.491716,0.10332544556375166,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.23637274,0.19970264976650276,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.98225617,0.1352240186194882,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.02129507,0.37186171144361135,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.3100401,1.149796489427313,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932810.83616546,0.18588207776897153,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.40805262,0.1131253136934263,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.91174513,0.777116422674573,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.87308344,0.1374491649458092,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.9099499,3.744980871485167,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.26048306,0.18784957668148833,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.35124698,0.19648301315749056,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.43123245,0.1618958336250962,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.99665537,0.10168231351272022,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.67659056,0.22004719064124437,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.76493174,0.14898104583944033,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.26879984,0.18946286897010148,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.4457463,0.20891769407023816,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.44375107,0.1556816067172363,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932823.45199394,0.44003931519573447,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.47899956,0.10727314501813788,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932812.39717606,1.3396384059993203,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.69240755,0.11015806126755485,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932814.31935516,0.1668394929953315,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.32263654,0.18790047645299313,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.52281198,0.10303348482764974,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.8573195,0.12965700079549755,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.88744798,0.2451337493974664,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.69801098,0.18894413042629085,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.1418254,0.3988141474706719,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.74698827,0.603361789625593,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.8400815,0.16251617588290843,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.05480474,0.22867207271199788,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.88904804,0.8726805432306639,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.27818114,0.24804697419299182,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.0675169,0.8309700363359204,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.0055942,4.405824347989245,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.01204434,0.1367576529810037,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932812.09745008,0.15414478739223056,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.37496105,0.9456163918196107,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.1490859,0.11180505401127122,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.12796745,0.5713546745081115,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.12851048,0.2105419020281799,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.0883719,0.31786879078765456,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.58478618,0.11228636839903723,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.2426261,0.16075215344436622,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.92343345,0.171487856371828,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.68791258,1.317101916363854,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.29909527,0.15411343060012303,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.34836498,0.14652410626051468,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.52265215,0.14288006247343585,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.1318748,0.19875958581436712,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.73112363,0.10192191944852541,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.18955663,0.10305699696401996,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.40486804,0.1774206784611702,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.71996495,0.12398927972812356,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.14070746,0.12084525669149443,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.7902094,0.13253557799888002,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.1246315,0.10594712315980973,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.8548256,0.12049231184606164,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.17403856,0.19720295184356218,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932812.5038506,0.31217193766619367,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.09399986,0.1422761050684557,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.49627632,0.40641343240988576,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.26286313,0.1323390898340667,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.53424007,0.21974050997333278,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.43295386,0.11642889809300026,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.6975663,0.1483225153770304,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.85134056,0.2444009214468882,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.15424776,0.5946798667796135,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.10863233,0.24913757794243574,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.19391698,0.14037041761022448,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.34873196,0.1031654160179607,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.35429147,1.8378583217971205,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.19846693,0.22455754251557225,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.30308023,0.29148620575819795,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.2608891,0.10962147120061926,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932818.14023858,0.1999465206517082,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.5165637,0.17608562731534047,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.6078097,0.22162758382984937,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932814.97991022,0.22234833288365863,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.23243216,0.13853566538682224,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.01635075,0.1683271971884326,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.88616815,0.4125029370409239,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.26689652,0.12927111182759657,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.03798348,0.11379157907916798,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.57772717,0.16391916836722578,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.9253902,0.36391242657243345,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.00749594,0.11593551470783461,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.62575355,0.10293796240356337,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.4829222,0.15890795792546222,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.91987854,6.067476632929824,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.97495157,0.1286178627593447,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932824.20854905,0.10062398987216298,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.9814695,0.10733856619211198,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.81590214,0.15127340943948148,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.94600263,0.10787897750658443,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.02676076,0.19465944900617962,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.8763587,0.10270225542352528,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.09239763,0.3441729078671574,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.06072742,0.14345689231111325,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.3132022,10.952446657310203,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932810.44418904,0.2481862970135501,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.83680582,0.3806437913391898,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.33649933,0.15090581641622802,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.16749966,0.21701671578122406,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.2634891,0.33576593852748826,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932808.25786176,0.10409561346555724,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932805.55370057,0.41705038767705993,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932811.0347658,0.10098419033488326,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.97042257,0.10430783603098762,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.19093916,0.13189021156992933,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932809.12052017,0.18826186461213254,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932812.15186706,0.17500831904977218,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.87117895,0.126863381523095,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.58405527,0.22494498142409555,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.0186165,0.11951188619130684,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932807.84896922,0.16770703646873375,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932801.65373677,0.24849248540967675,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.9765952,0.13646319703705234,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932810.10458764,1.665150785839824,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.82881355,0.2185561303158944,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932802.00843325,0.15115780810057902,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.67748627,0.1583615210999662,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.667558,1.6602557689508703,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.22693765,0.29465129754323793,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932803.21473196,0.1402149705259318,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932800.05606538,0.23865303458589948,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932812.40460894,0.19345565203135678,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932806.44908783,0.1994294415142395,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
239932804.5776792,0.23674932589063455,GRB080319B,0.937,239932800.0,50.0,0.0011,2.2e-05
