time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
312105600.13791007,0.12352339403479931,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.32124794,1.4485562220535313,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.2100813,0.6347102828311016,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.2003272,0.7520477442006426,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.2697169,0.11989085889775329,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.6724354,0.20716591868826378,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.7222738,0.11762063438382353,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0099273,0.12940533689153175,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.97650975,14.111647776588189,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.5286557,0.14768022388842159,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.1881239,0.33666557944235376,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.5988796,0.1073051700507005,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0679868,0.30637114703498886,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.84617823,0.7208371013814184,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.26245874,0.13486806607854548,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.412691,0.2992547654478882,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.4816522,1.0084325294717973,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.1028066,1.4408223972661598,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.09739304,0.12443800331451067,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.64360124,0.30717403338406846,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.32049763,0.2008565510007705,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.05061346,0.16968428850326017,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0107043,0.17143524077417846,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0066176,0.13780652663283086,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.25764173,0.2484919124894066,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.75766194,0.6595988169993728,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.1506638,0.2035187525136597,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.17930067,0.7448001675669322,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.9310439,0.2022822271176007,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0371171,0.23425252514705108,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.3582938,0.30630379722485834,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.1710206,0.323546014557224,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.2965911,0.2192847136621348,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.00053525,0.11265684866370895,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.64094824,0.18610797811032778,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.4469934,0.2258022182511883,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0379645,0.27265266454724807,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.08658034,0.1800446594086688,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.17332613,0.17701159343385056,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.6912407,0.11061665399290253,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.96217483,0.13245721177667938,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.0510337,0.5585417112009797,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.25699234,1.376427944070072,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.4694186,0.1388389827502624,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.98487514,0.1093205645620903,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.5870007,0.170078745820479,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0395687,0.10946064210337272,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0170351,0.12279600939016609,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.56369084,0.17378375698519352,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.38409925,0.10420213991531702,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.77629197,0.16938916495002546,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.3839308,0.16152193183274932,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.15855855,0.11246156584363116,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.2587163,0.3741850411046713,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.5655517,0.22960070895380902,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105601.146533,0.6537302089993635,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.0372671,0.4633312248986581,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.77169394,0.12534611645859803,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.10133433,0.2213076682058498,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.1477393,0.8255889857357556,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.32529056,0.11169966422336795,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.8224245,0.17049575946316728,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
312105600.03813183,4.940871665294954,GRB160131A,0.972,312105600.0,4.0,1.1e-05,2.8e-05
