Source_Index,N_Photons,Energy_Mean,Energy_Std,Energy_Range,Time_Mean,Time_Std,Time_Range,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Has_QG_Effect,Significance_Sigma,E_QG_Estimate,Energy_Time_Ratio
0,4328,148.9480116848307,86.17546096600638,299.7865924124178,991.1083055423782,577.3188558200067,1999.5122091415114,0.00985460395407576,0.5168953172010892,0.009783946005675446,0.5199054339019746,False,0.648160308712769,inf,0.14992986341460293
1,1972,154.76790837632774,84.8853315139681,299.44151308306107,983.5911212578592,570.5324150404192,1998.501553311616,-0.02887504835277208,0.19994283436807048,-0.028496998418792826,0.20589764472395553,False,1.2816098400951061,inf,0.1498330149340498
2,1712,148.5157852398409,86.04142377798537,299.7741815267537,982.7673457910098,577.5190128475335,1994.9347665051152,0.036006690677495956,0.13642966588931332,0.036431210501831374,0.13186482840113317,True,1.4889539391001103,4124.671899732865,0.1502676611586262
3,1917,150.37938538727755,87.65439258408345,299.7476974502559,1005.8377073909091,563.5459952373499,1995.3153620644246,-0.007074929882488889,0.7568899241512401,-0.007016798006323535,0.7588252724870936,False,0.3096039758993529,inf,0.15022572529092654
4,711,149.46301162050858,86.103103322559,298.0399417621931,939.6101456846545,568.516032529336,1999.147262024527,0.04332127480651023,0.24864250716343989,0.04235908982554122,0.2593171954223052,True,1.1535179197830328,3450.10649589766,0.14908353547720615
5,1481,148.7033174667799,85.85538041791938,299.02026735246125,1022.6175269297487,575.379756029742,1999.8247619600922,-0.026614375144928756,0.30605363995529683,-0.026854834616304467,0.30170278105652876,True,1.0235294926288383,5587.330781091609,0.14952323475552023
6,949,150.0868651371577,86.38488012991542,299.44340725077325,1019.6052594058401,573.6744605644906,1992.698273062529,0.029729309465991404,0.360280033573106,0.029289739400989435,0.367429207036453,False,0.9148708945717301,inf,0.15027032004728244
7,728,147.4903786614549,88.05094156699842,298.48672997730966,1000.1201579324405,569.3739508420841,1997.014300070967,0.00044635241127843114,0.990407622402245,0.002805988821578001,0.9397534336270581,False,0.012026692184023613,inf,0.1494664960419675
8,4536,152.0473872381383,86.17353005141632,299.87209508374946,981.7243251451426,576.3805415389797,1997.8943623015707,0.0129563540662102,0.3829878017206835,0.012936248140943872,0.38372659586677593,True,0.8724158869850624,11735.352897978724,0.15009406940730208
9,3151,149.49809898984523,86.4342047588551,299.52603958128265,989.9617478331265,576.7045992681786,1997.9480637212655,0.030742870429980047,0.08444887824900338,0.030974026148372538,0.0821375319544827,False,1.725165422526933,inf,0.14991682968144943
10,342,149.4990871253924,87.08476610412228,297.5150566544181,1049.8085235184499,578.8568510722583,1976.2248154729884,0.026903373863322862,0.6200363490204767,0.03161098629031133,0.5601659877780751,True,0.49607370276815327,5556.889923356535,0.15054717172105292
11,3650,150.7683557359446,86.63939984250125,299.75945840110495,1005.5550653253293,574.2878623364669,1999.2740832539466,0.004721124938621402,0.7755432130455437,0.004680356633942511,0.7774301851894557,True,0.2851496930785549,31934.83707719243,0.14993414905535474
12,3882,150.90506328803562,85.78336982487652,299.77336078350083,1003.4424761756667,579.2242287097835,1999.160445505977,0.045927292335830615,0.004208166163332635,0.044706981254619006,0.005336360346381921,False,2.860794781777833,inf,0.14994962583287294
